日付 Date,,,指数値（配当なし）Index Level(Price Return),時価総額（浮動株ベース）（円） Free Float Adjusted Market Value(Yen),基準時価総額（円） Base Market Value(Yen),銘柄数 Number of Shares
20211230,TOPIX,TOPIX,1992.33,4.38856E+14,2.20273E+13,2183
20211230,二部,2nd Section,7622.97,2.5632E+12,33624663312,469
20211230,マザーズ,Mothers,987.94,3.2147E+12,3.25395E+12,397
20211230,JASDAQ INDEX,JASDAQ INDEX,176.69,1.00759E+13,5.70256E+12,690
20211230,JASDAQ INDEX （スタンダード）,JASDAQ INDEX (Standard),387.6,9.77363E+12,2.5216E+12,654
20211230,JASDAQ INDEX （グロース）,JASDAQ INDEX (Growth),154.98,3.02261E+11,1.95027E+11,36
20211230,J-Stock Index,J-Stock Index,3716.63,5.57926E+12,1.50116E+12,76
20211230,REIT,REIT,2066.33,1.57189E+13,7.60716E+12,61
20211230,大型,Large,1911.11,2.75735E+14,1.4428E+13,100
20211230,中型,Medium,2227.45,1.2381E+14,5.55835E+12,400
20211230,小型,Small,3472.55,3.93123E+13,1.13209E+12,1682
20211230,TOPIX Core30,TOPIX Core30,986.14,1.6265E+14,1.64936E+14,30
20211230,TOPIX Large70,TOPIX Large70,2009.68,1.13084E+14,5.62697E+13,70
20211230,TOPIX 100,TOPIX 100,1325.68,2.75735E+14,2.07995E+14,100
20211230,TOPIX Mid400,TOPIX Mid400,2116.84,1.2381E+14,5.8488E+13,400
20211230,TOPIX 500,TOPIX 500,1550.74,3.99544E+14,2.57647E+14,500
20211230,TOPIX Small500,TOPIX Small500,1040.51,2.52573E+13,2.4274E+13,499
20211230,TOPIX 1000,TOPIX 1000,1883.78,4.24801E+14,2.25504E+14,999
20211230,TOPIX Small,TOPIX Small,2352.19,3.93123E+13,1.6713E+13,1682
20211230,水産・農林業,Fishery Agriculture and Forestry,450.28,3.76421E+11,83597173622,8
20211230,鉱業,Mining,290.68,1.01352E+12,3.48673E+11,6
20211230,建設業,Construction,1132.05,9.72103E+12,8.58712E+11,100
20211230,食料品,Foods,1689.25,1.43297E+13,8.48288E+11,85
20211230,繊維製品,Textiles and Apparels,580.5,2.0435E+12,3.52022E+11,39
20211230,パルプ・紙,Pulp and Paper,495.15,9.06383E+11,1.83052E+11,12
20211230,化学,Chemicals,2273.45,2.96252E+13,1.30309E+13,148
20211230,医薬品,Pharmaceutical,2978.3,2.09765E+13,7.04311E+12,37
20211230,石油・石炭製品,Oil and Coal Products,994.06,1.75384E+12,1.76433E+11,9
20211230,ゴム製品,Rubber Products,3408.24,2.98161E+12,87482423012,11
20211230,ガラス・土石製品,Glass and Ceramics Products,1187.04,3.43495E+12,2.89372E+11,33
20211230,鉄鋼,Iron and Steel,437.07,3.2876E+12,7.52186E+11,31
20211230,非鉄金属,Nonferrous Metals,958.96,3.04547E+12,3.17579E+11,24
20211230,金属製品,Metal Products,1328.5,2.79178E+12,2.10146E+11,42
20211230,機械,Machinery,2312.42,2.43246E+13,1.05191E+12,144
20211230,電気機器,Electric Appliances,4107.27,8.84141E+13,2.15262E+12,159
20211230,輸送用機器,Transportation Equipment,3460.7,3.56189E+13,1.02924E+12,57
20211230,精密機器,Precision Instruments,11234.2,1.27632E+13,1.1361E+11,33
20211230,その他製品,Other Products,3529.99,9.75263E+12,2.76279E+11,52
20211230,電気・ガス業,Electric Power and Gas,323.75,4.6361E+12,1.43199E+12,22
20211230,陸運業,Land Transportation,1751.35,1.28363E+13,7.32935E+11,44
20211230,海運業,Marine Transportation,986.16,2.27065E+12,2.30252E+11,8
20211230,空運業,Air Transportation,187.37,1.70347E+12,9.09123E+11,3
20211230,倉庫・運輸関連業,Warehousing and Harbor Transportation Service,1845.44,7.62111E+11,41297056021,24
20211230,情報・通信業,Information & Communication,4668.44,3.50288E+13,7.50333E+11,236
20211230,卸売業,Wholesale Trade,1950.36,2.31666E+13,1.18781E+13,178
20211230,小売業,Retail Trade,1292.54,1.79147E+13,1.386E+13,199
20211230,銀行業,Banks,145.43,2.08119E+13,1.43109E+14,81
20211230,証券、商品先物取引業,Securities and Commodities Futures,380.37,3.22171E+12,8.46999E+12,23
20211230,保険業,Insurance,1128.26,8.64471E+12,7.662E+12,8
20211230,その他金融業,Other Financing Business,736.49,4.99604E+12,6.78356E+12,26
20211230,不動産業,Real Estate,1378.5,8.04302E+12,5.83462E+11,74
20211230,サービス業,Services,3056.84,2.76592E+13,9.04831E+11,227
20211230,TOPIX-17 食品,TOPIX-17 FOODS,289.98,1.47061E+13,5.07151E+12,93
20211230,TOPIX-17 エネルギー資源,TOPIX-17 ENERGY RESOURCES,113.93,2.76736E+12,2.42907E+12,15
20211230,TOPIX-17 建設・資材,TOPIX-17 CONSTRUCTION & MATERIALS,247.78,1.59478E+13,6.43627E+12,175
20211230,TOPIX-17 素材・化学,TOPIX-17 RAW MATERIALS & CHEMICALS,287.53,3.25751E+13,1.13293E+13,199
20211230,TOPIX-17 医薬品,TOPIX-17 PHARMACEUTICAL,230.24,2.09765E+13,9.1107E+12,37
20211230,TOPIX-17 自動車・輸送機,TOPIX-17 AUTOMOBILES & TRANSPORTATION EQUIPMENT,256.34,3.86005E+13,1.50581E+13,68
20211230,TOPIX-17 鉄鋼・非鉄,TOPIX-17 STEEL & NONFERROUS METALS,187.6,6.33307E+12,3.37587E+12,55
20211230,TOPIX-17 機械,TOPIX-17 MACHINERY,455.72,2.43246E+13,5.33764E+12,144
20211230,TOPIX-17 電機・精密,TOPIX-17 ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,329.7,1.01177E+14,3.06873E+13,192
20211230,TOPIX-17 情報通信・サービスその他,"TOPIX-17 IT & SERVICES, OTHERS",301.06,7.24407E+13,2.40617E+13,515
20211230,TOPIX-17 電力・ガス,TOPIX-17 ELECTRIC POWER & GAS,53.61,4.6361E+12,8.64716E+12,22
20211230,TOPIX-17 運輸・物流,TOPIX-17 TRANSPORTATION & LOGISTICS,157.18,1.75725E+13,1.11799E+13,79
20211230,TOPIX-17 商社・卸売,TOPIX-17 COMMERCIAL & WHOLESALE TRADE,473.9,2.31666E+13,4.88854E+12,178
20211230,TOPIX-17 小売,TOPIX-17 RETAIL TRADE,224.54,1.79147E+13,7.97848E+12,199
20211230,TOPIX-17 銀行,TOPIX-17 BANKS,93.53,2.08119E+13,2.22528E+13,81
20211230,TOPIX-17 金融（除く銀行）,TOPIX-17 FINANCIALS (EX BANKS),145.06,1.68625E+13,1.16242E+13,57
20211230,TOPIX-17 不動産,TOPIX-17 REAL ESTATE,288.34,8.04302E+12,2.78945E+12,74
